id,doi,title,authors,journal,year,volume,pages,pmid,url,notes
1,10.1016/j.sciaf.2026.e03252,Phytochemical profiling and biological activities of Erodium moschatum,Takie M. et al.,Scientific African,2026,,,,,
2,10.1002/fsn3.71853,Biological activities and phytochemical analysis of Reseda alba,Takie M. et al.,Food Science & Nutrition,2026,,,,,
3,10.3390/pharmaceutics18040500,"Lavandula stoechas Ethanol Extracts Induce Apoptosis in Breast, Bladder, and Glioblastoma Cancer Cells.","Nalkiran I, Sevim Nalkiran H",Pharmaceutics,2026,,,42076150,,
4,10.1002/cbdv.71190,Antioxidant and Antifungal Effects of Lavandula stoechas Aqueous Extract Against Aspergillus niger and Fusarium oxysporum as a Potential Natural Preservative and Crop Protection Agent in the Agrifood Sector.,"Namoune I, Boubrik F, Yakoubi R, Gali L, Benouchenne D, Bendjedid S, Tahar HS, Terriche S, Bendif H, Chaudhary AA, Taha TH, Elfalleh W, Garzoli S",Chemistry & biodiversity,2026,,,41958073,,
5,10.1186/s12906-026-05350-1,Anti-inflammatory and antioxidant effects of Lavandula stoechas L. on human macrophages and in silico prediction of α7 nicotinic acetylcholine receptor interaction.,"Baris E, Portakal HS, Sezan Uydas S, Oztinen N, Hamurtekin E, Kosar M, Firtina Z, Tosun M",BMC complementary medicine and therapies,2026,,,41866519,,
6,10.3390/molecules31030400,"Chemical Composition, Antioxidant Potential, and Genotoxic Safety of Lamiaceae Essential Oils from Eastern Morocco: A Multimethod Evaluation.","Makaoui A, Talhaoui A, Aboukhalid K, Sabbahi R, Ouahhoud S, Baddaoui S, Essadek A, Maatougui A, Saalaoui E, Neffa M","Molecules (Basel, Switzerland)",2026,,,41683382,,
7,10.3390/metabo16010034,From Ornamental Value to Antioxidant Activity: Comparative Phytochemistry of Lavandula Species and Cultivars.,"Baptista A, Brunetti C, Pasquini D, Dos Santos Nascimento LB, Detti C, Ferrini F, Beltrami S, Gori A",Metabolites,2025,,,41590642,,
8,10.1038/s41598-025-33722-z,The role of Lavandula stoechas L. extract in enhancing tolerance to prometryn toxicity.,"Macar O, Kalefetoğlu Macar T, Çavuşoğlu K, Yalçın E, Acar A",Scientific reports,2025,,,41466096,,
9,10.3390/plants14233685,"Allelopathic Effect of the Invasive Species Acacia dealbata Link and Hakea decurrens R.Br., subsp. physocarpa on Native Mediterranean Scrub Species.","Nogales L, Chaves N, Blanco-Salas J, Mateos L, Rubio LV, Alías JC","Plants (Basel, Switzerland)",2025,,,41375395,,
10,10.3390/ph18111706,Anticancer Effects and Phytochemical Profile of Lavandula stoechas.,"Sevim Nalkiran H, Nalkiran I","Pharmaceuticals (Basel, Switzerland)",2025,,,41304951,,
11,10.3390/molecules30224451,"Biochemical Properties, Antioxidant Activity, and In Vitro Ruminal Fermentation of Four Medicinal Plant Species Grown in Northwestern Tunisia.","Bouzazi M, Selmi H, Tajini F, Jridi M, Jallouli S, Ouerghui A, Sebai H","Molecules (Basel, Switzerland)",2025,,,41302506,,
12,10.1016/j.jep.2025.120887,"Comprehensive evaluation of the anti-inflammatory effects of Lavandula stoechas L.: in vivo, in vitro, and in silico studies.","Cherbal A, Aytar EC, Aydoğmuş Z, Fenghour M, Gheddar K",Journal of ethnopharmacology,2026,,,41237870,,
13,10.1016/j.fochx.2026.104086,Spray-dried microencapsulation enhances the antioxidant efficacy of Artemisia herba-alba extract in butter: insights from volatile profiling and multivariate analysis.,"Lemmadi S, Adoui F, Descours E, Chalut P, Santerre C, Gharsallaoui A",Food chemistry: X,2026,,,42317272,,
14,10.1002/cbdv.202503415,Gastroprotective Effect of Artemisia herba-alba Leaf Extract in Acetic Acid-Induced Gastric Ulceration in Wistar Rats.,"Nahdi A, Hammami I, Younes SB, Sakouhi S, El May MV, Mhamdi A, Ali RB",Chemistry & biodiversity,2026,,,41852087,,
15,10.1038/s41598-026-39998-z,Green synthesis and enhanced photocatalytic activity of ZnSe nanoparticles capped with Artemisia herba-alba and calligonum plants extracts.,"Alshammari AF, Ouni S, Bouzidi M, Alshammari AS, Alzahrani EA, Alismail H, Almarri HM, Chaaben N, Anjum DH, Shakfa MK, Khan NA, Gassoumi B",Scientific reports,2026,,,41803303,,
16,10.3390/antiox15020190,Artemisiaherba alba Outperforms Indomethacin with Multitarget Efficacy and Safety in CFA Arthritic Model.,"Wahnou H, Ndayambaje M, Irahal IN, Ouadghiri Z, Taha W, Mazti A, El Kebbaj R, Limami Y, Oudghiri M","Antioxidants (Basel, Switzerland)",2026,,,41750571,,
17,10.14715/cmb/2025.72.1.3,"In-silico evaluation of the efficacy of essential oils from Artemisia absinthium, Artemisia herba-alba, and Artemisia annua against SARS-CoV-2.","Bouzerea N, Feknous N, Feknous S, Boumendjel M, Sekiou O, Karmi S, Rouabhia MA, Hadef Y, Rebani H, Abdssmad S, Negro C, Luvisi A, De Bellis L, Bouaziz M, Faiza Taibi","Cellular and molecular biology (Noisy-le-Grand, France)",2026,,,41684177,,
18,10.1016/j.psj.2026.106594,Anthelmintic effects of Artemisia herba-alba and Artemisia judaica extracts on Ascaridia galli in poultry.,"Abdelqader A, Mahasneh Z, Albataineh S, Abdelhafiz L",Poultry science,2026,,,41679004,,
19,10.1039/d5na00879d,Modulating biodiesel yield and purification with plant-derived hydrophobic iron oxide nanocatalysts.,Ahmouda K,Nanoscale advances,2026,,,41522179,,
20,10.1080/14786419.2025.2588794,The effect of some Algerian plant essential oils on Pseudomonas aeruginosa biofilm formation and quorum sensing: in vitro and in silico studies.,"Ilias F, El Haci IA, El Ghali F, Mrabet R, Aifa S, Mnif S",Natural product research,2025,,,41258899,,
21,10.3390/molecules30214179,"GC/MS Analysis, Cytotoxicity, and Antimicrobial Properties of Six Moroccan Essential Oils Traditionally Used for COVID-19 Prevention.","Zaher H, Quílez Del Moral JF, Lemrabet S, González-Coloma A, Bencharki B","Molecules (Basel, Switzerland)",2025,,,41226142,,
22,10.1038/s41598-025-21832-7,"Evaluation of antioxidant, anticholinesterase and antiproliferative potential of Artemisia herba-alba by artificial intelligence-assisted extraction optimization.",Sevindik M,Scientific reports,2025,,,41168232,,
23,10.1590/1519-6984.298139,"Essential oils Composition, Antimicrobial, Antioxidant, and Synergistic Effects of Ammodaucus leucotrichus and Thymus maroccanus.","Fanjaoui N, Sammama A, Chattat K, Azenzem R, Mnasri B, Koussa T, Alfeddy MN",Brazilian journal of biology = Revista brasleira de biologia,2026,,,41670124,,
24,10.1111/lam.12216,Natural extracts stimulate membrane-associated mechanisms of resistance in Gram-negative bacteria.,"Fadli M, Chevalier J, Hassani L, Mezrioui NE, Pagès JM",Letters in applied microbiology,2014,,,24447247,,
